Date,Open,High,Low,Close,Adj Close,Volume,RSI,CCI,Williams_R,Ultimate_Oscillator,MFI,ADX,Bollinger_Band_Percent,Buy_Signal,Sell_Signal,Buy_Exit,Sell_Exit,Signal,Market_Return,Strategy_Return,Cumulative_Return
2000-04-03,10863.2802734375,11223.7900390625,10862.9697265625,11221.9296875,11221.9296875,279950000,64.97224547825965,76.17064074328381,-0.8723803808845157,51.103825245409325,81.45136691781451,31.970098524351695,0.8214605076916541,0,-1,1,0,0,0.027098099830505203,0.0,-7.629320600796015
2000-04-04,11225.33984375,11418.240234375,10717.7802734375,11164.83984375,11164.83984375,319280000,62.93054067137348,73.61044075465509,-19.798446229183483,55.03138738287693,71.74804039245558,32.776656001919385,0.768605854893678,0,-1,1,0,0,-0.005100331017260287,-0.0,-7.629320600796015
2000-04-05,11163.2900390625,11218.2099609375,11002.580078125,11033.919921875,11033.919921875,189310000,58.398456085957854,65.01818715608583,-45.16470362757688,52.05526658776654,64.93618541290066,33.52560223108939,0.6814755609447117,0,0,1,-1,0,-0.011795383271208028,-0.0,-7.629320600796015
2000-04-06,11029.5595703125,11201.1396484375,11029.5595703125,11114.26953125,11114.26953125,161820000,60.28868136819193,81.41798879196843,-36.567904135338345,54.698344564142054,64.02512622224798,34.221052301032955,0.7045076723491718,0,0,1,-1,0,0.0072556686444598,0.0,-7.629320600796015
2000-04-07,11122.0302734375,11192.4501953125,11062.76953125,11111.48046875,11111.48046875,156500000,60.186455208789816,84.7499330368682,-37.65633597504618,53.56760612148575,63.85172076677692,34.866827365980555,0.6850625848919979,0,0,1,-1,0,-0.0002509757839119078,-0.0,-7.629320600796015
2000-04-10,11114.8896484375,11287.7001953125,11097.2099609375,11186.5595703125,11186.5595703125,150070000,62.051815661786804,137.3806559733584,-33.07550423758942,53.55788479787964,63.15091747987302,35.79343272886931,0.718750825413804,0,-1,1,0,0,0.006734169026617942,0.0,-7.629320600796015
2000-04-11,11180.98046875,11361.150390625,11102.48046875,11287.080078125,11287.080078125,171130000,64.4531536216546,183.49189620036876,-18.72486131462167,58.05624441750917,62.91438301663933,36.88779429491342,0.8166422399190169,0,-1,1,0,0,0.008945696356645017,0.0,-7.629320600796015
2000-04-12,11283.0498046875,11425.4501953125,11116.75,11125.1298828125,11125.1298828125,234780000,58.076746355709005,129.17240817777642,-42.437908298305125,46.11295915010782,54.72664701538904,38.09913800168677,0.6640899618027081,0,-1,1,0,0,-0.014452212826421873,-0.0,-7.629320600796015
2000-04-13,11132.580078125,11144.0595703125,10920.759765625,10923.5498046875,10923.5498046875,200240000,51.27682598000965,-89.19993641590445,-70.92295081514764,36.707468514828975,47.37054889218198,37.52048049266677,0.3617525599174092,0,0,1,-1,0,-0.01828551166261738,-0.0,-7.629320600796015
2000-04-14,10922.849609375,10922.849609375,10201.5302734375,10305.76953125,10305.76953125,267580000,36.98474925604482,-327.23534307311735,-91.48316356736727,33.169466214616975,46.248056331218145,36.22525535059607,-0.324945929018035,0,0,1,-1,0,-0.05821710410515053,-0.0,-7.629320600796015
2000-04-17,10303.2900390625,10583.75,10232.5498046875,10582.509765625,10582.509765625,247520000,44.453589268963036,-227.2895030186841,-68.87218801015564,40.99539966905353,45.34551829551723,35.02254629010185,0.027373770505584982,0,0,1,-1,0,0.02649872914546261,0.0,-7.629320600796015
2000-04-18,10584.01953125,10773.9296875,10571.33984375,10767.419921875,10767.419921875,218380000,48.81866925482686,-100.24330098870317,-53.764160683766136,44.545854558993895,45.58293546186351,33.01593296229781,0.25160884226844527,0,0,1,-1,0,0.01732228467594701,0.0,-7.629320600796015
2000-04-19,10748.9697265625,10789.4404296875,10632.150390625,10674.9599609375,10674.9599609375,193860000,46.83668597473016,-82.06968132987637,-61.3185732956513,43.84929388269832,38.726130069627274,31.083285735888513,0.1723961907505911,0,0,1,-1,0,-0.008624092521541326,-0.0,-7.629320600796015
2000-04-20,10668.1904296875,10845.2900390625,10665.08984375,10844.0498046875,10844.0498046875,158390000,50.772800112327744,-47.766961078774784,-47.50313972619353,45.80051339319718,44.341203275322975,29.031224603406173,0.36805613634207074,0,0,1,-1,0,0.01571571608366263,0.0,-7.629320600796015
2000-04-24,10822.330078125,10910.75,10695.4404296875,10906.099609375,10906.099609375,295330000,52.172205594361856,-27.20727578865862,-42.433379558188264,52.39666225330719,44.50017546876719,27.090388429050755,0.44526305749618333,0,0,1,-1,0,0.005705705449878584,0.0,-7.629320600796015
2000-04-25,10916.650390625,11136.6103515625,10881.0400390625,11124.8203125,11124.8203125,240200000,56.830719594524425,34.700808675675745,-24.562871919916635,58.60668528172486,54.198617606136104,26.218284756053553,0.6749928308993853,0,0,1,-1,0,0.019856446327125504,0.0,-7.629320600796015
2000-04-26,11127.919921875,11141.8798828125,10902.0595703125,10945.5,10945.5,198970000,52.33038066803151,22.205936947473866,-39.21418278552358,66.76593233673903,54.0448264413685,25.428675543043337,0.48226835260205,0,0,1,-1,0,-0.01625026334482329,-0.0,-7.629320600796015
2000-04-27,10941.91015625,10941.91015625,10747.25,10888.099609375,10888.099609375,192920000,50.93982132094146,-13.91273600483486,-43.90406401051948,63.847382551771844,47.891546655836656,23.91299352538437,0.42777679114411277,0,0,1,-1,0,-0.005257999037765179,-0.0,-7.629320600796015
2000-04-28,10892.759765625,10959.23046875,10715.2998046875,10733.91015625,10733.91015625,173520000,47.303568721459406,-25.728120048876036,-56.50206575631895,54.95753271819142,42.24585641670791,22.351463418924915,0.2803093812883598,0,0,1,-1,0,-0.014262510150111497,-0.0,-7.629320600796015
2000-05-01,10749.419921875,10926.259765625,10724.2197265625,10811.7802734375,10811.7802734375,174020000,49.27298174759753,-12.673632427562461,-50.13971183138194,55.256158464149316,42.61149731189474,20.901471177212564,0.3687680940079053,0,0,1,-1,0,0.007228402032366667,0.0,-7.629320600796015
2000-05-02,10805.580078125,10824.5,10710.01953125,10731.1201171875,10731.1201171875,208610000,47.30101766727288,-28.559403812138093,-56.73002503801981,49.81250557821086,36.26800882191979,19.478078698021,0.3059963436259045,0,-1,1,0,0,-0.007488363378115703,-0.0,-7.629320600796015
2000-05-03,10732.2099609375,10732.2099609375,10400.08984375,10480.1298828125,10480.1298828125,200220000,41.707480143960595,-110.5315528435293,-70.44127855773714,42.9470477961629,36.86369474639544,19.45135018684473,0.09318390994263097,0,-1,1,0,0,-0.02366687014378399,-0.0,-7.629320600796015
2000-05-04,10478.8896484375,10523.099609375,10407.5302734375,10412.490234375,10412.490234375,169170000,40.32358123151232,-125.31545678887449,-77.5657948028804,36.09816411901529,37.37161793225294,19.42653085503819,0.08495893887186119,0,-1,1,0,0,-0.0064750025968666695,-0.0,-7.629320600796015
2000-05-05,10409.7001953125,10585.919921875,10375.8095703125,10577.8603515625,10577.8603515625,138300000,45.11825135346635,-99.47267974073657,-62.02583031378268,46.417135445068844,43.86022198080578,19.023581902337305,0.2671259541269487,0,-1,1,0,0,0.015757101158454093,0.0,-7.629320600796015
2000-05-08,10571.3095703125,10627.849609375,10522.0703125,10603.6298828125,10603.6298828125,144180000,45.84838367094292,-76.07863825542947,-70.26117462292339,44.395826248356826,50.70531932437328,18.396649795760595,0.31265524382784937,0,-1,1,0,0,0.002433213497158039,0.0,-7.629320600796015
2000-05-09,10607.5400390625,10684.849609375,10514.25,10536.75,10536.75,166320000,44.2047090997293,-69.44080940223475,-78.99142845487827,44.05126360894575,43.541247684516534,17.471574668634478,0.26951255695001447,0,-1,1,0,0,-0.006327237855249827,-0.0,-7.629320600796015
2000-05-10,10533.08984375,10533.08984375,10292.099609375,10367.7802734375,10367.7802734375,225970000,40.27611252760617,-121.0240996624798,-91.09409026919873,42.669650429581466,43.124949703736895,17.656260695846726,0.1179497736672073,0,-1,1,0,0,-0.016166199794971192,-0.0,-7.629320600796015
2000-05-11,10369.26953125,10575.099609375,10369.26953125,10545.9697265625,10545.9697265625,185720000,45.751494843697586,-70.74949373575915,-70.12520470020398,47.899834789191154,43.5972223345743,17.566113372241492,0.3315718747477694,0,-1,1,0,0,0.017040823872871,0.0,-7.629320600796015
2000-05-12,10549.0595703125,10673.7900390625,10543.919921875,10609.3701171875,10609.3701171875,137770000,47.5924977094733,-24.87936038308385,-62.66440658488235,50.303165458083484,40.00633997418543,16.88665064673982,0.4228689763534729,0,-1,1,0,0,0.0059938134676443995,0.0,-7.629320600796015
2000-05-15,10606.9697265625,10811.5498046875,10605.259765625,10807.7802734375,10807.7802734375,155810000,52.971308119444835,39.071690580125,-39.31599965524176,56.77816154770596,37.77388266008763,15.855747884714878,0.6463351248432165,0,-1,1,0,0,0.0185286864951336,0.0,-7.629320600796015
2000-05-16,10816.009765625,10971.240234375,10816.009765625,10934.5703125,10934.5703125,181920000,56.073877906494666,120.7798015373258,-5.399459335097205,56.232789072430236,45.66173521154356,15.652755380931364,0.7840871736959544,0,-1,1,0,0,0.011663088202332524,0.0,-7.629320600796015
2000-05-17,10930.6396484375,10930.6396484375,10752.6103515625,10769.740234375,10769.740234375,169570000,51.332674732474715,82.57967352454286,-29.669849304037733,49.940394181630396,46.121663669678945,15.107159997244429,0.5704638961655963,0,-1,1,0,0,-0.015188987154261138,-0.0,-7.629320600796015
2000-05-18,10771.7998046875,10864.3203125,10764.259765625,10777.2802734375,10777.2802734375,161220000,51.53454950182046,75.19375701972213,-28.559616933164616,51.85793093028745,46.360021278379484,14.600535712392274,0.5735194721904924,0,-1,1,0,0,0.0006998683987454117,0.0,-7.629320600796015
2000-05-19,10764.2197265625,10764.2197265625,10570.650390625,10626.849609375,10626.849609375,188270000,47.31745437725811,11.719769533233903,-50.70976647877603,51.44817138265856,38.85844130742689,14.030243438236866,0.3923626176154595,0,-1,1,0,0,-0.014056459362713316,-0.0,-7.629320600796015
2000-05-22,10624.7900390625,10664.5400390625,10369.490234375,10542.5498046875,10542.5498046875,185570000,45.09067823079408,-49.44785259443302,-63.12248360750029,49.73580077255961,39.2997917195324,14.378583770947861,0.3040159908865755,0,-1,1,0,0,-0.007964349733213123,-0.0,-7.629320600796015
2000-05-23,10539.1201171875,10557.4501953125,10416.7802734375,10422.26953125,10422.26953125,157080000,42.04997881031191,-77.3624340686915,-80.8331416081905,47.23719613121474,40.029130426944285,14.702042651322357,0.1567520026429248,0,-1,1,0,0,-0.01147461289790896,-0.0,-7.629320600796015
2000-05-24,10420.900390625,10554.8798828125,10364.009765625,10535.349609375,10535.349609375,225350000,45.753659567941725,-69.53329166373544,-64.18267571609341,48.03802265156855,48.29560140408655,15.225407323030932,0.34178372781922217,0,-1,1,0,0,0.010791414306709754,0.0,-7.629320600796015
2000-05-25,10529.8701171875,10558.650390625,10266.0,10323.919921875,10323.919921875,184380000,40.536961621229736,-112.9764667406517,-91.78720681948472,41.322491528429985,41.88757789028863,16.10960361393911,0.0607316366728254,0,-1,1,0,0,-0.02027270689365735,-0.0,-7.629320600796015
